query,extension,sink_file,sink_line
"Server-side request forgery","cpsit_vcc","/cpsit_vcc/Classes/Service/CommunicationService.php","566"
"Reflected XSS","cpsit_vcc","/cpsit_vcc/Classes/Task/ClearCachePages.php","148"
"Reflected XSS","cpsit_vcc","/cpsit_vcc/Classes/Task/ClearCachePlugins.php","118"
"Code injection","cundd_rest","/cundd_rest/Classes/DataProvider/DataProvider.php","177"
"Code injection","cundd_rest","/cundd_rest/Classes/DataProvider/DataProvider.php","182"
"File inclusion","cundd_rest","/cundd_rest/Tests/Functional/Bootstrap.php","40"
"Path traversal","cundd_assetic","/cundd_assetic/Classes/Command/AbstractCommand.php","105"
"Path traversal","cundd_assetic","/cundd_assetic/Classes/Utility/ProfilingUtility.php","84"
"Server-side request forgery","datamints_locallang_builder","/datamints_locallang_builder/Classes/Provider/GoogleProvider.php","143"
"Path traversal","datamints_locallang_builder","/datamints_locallang_builder/Classes/Utility/LogUtility.php","26"
"Server-side request forgery","derhansen_mfa_yubikey","/derhansen_mfa_yubikey/Classes/Service/YubikeyAuthService.php","116"
"Server-side request forgery","derhansen_sf_yubikey","/derhansen_sf_yubikey/Classes/Service/YubikeyService.php","116"
"Path traversal","devlog_devlog","/devlog_devlog/Classes/Writer/FileWriter.php","103"
"Path traversal","devskio_typo3_ohdear_health_check","/devskio_typo3_ohdear_health_check/Classes/Checks/ForgottenFiles.php","91"
"SQL injection","directmailteam_direct-mail","/directmailteam_direct-mail/Classes/Repository/FeUsersRepository.php","43"
"SQL injection","directmailteam_direct-mail","/directmailteam_direct-mail/Classes/Repository/SysDmailGroupRepository.php","150"
"SQL injection","directmailteam_direct-mail","/directmailteam_direct-mail/Classes/Repository/TtAddressRepository.php","47"
"SQL injection","directmailteam_direct-mail","/directmailteam_direct-mail/Classes/Repository/TempRepository.php","102"
"SQL injection","directmailteam_direct-mail","/directmailteam_direct-mail/Classes/Repository/TempRepository.php","103"
"SQL injection","directmailteam_direct-mail","/directmailteam_direct-mail/Classes/Repository/TempRepository.php","154"
"SQL injection","directmailteam_direct-mail","/directmailteam_direct-mail/Classes/Repository/TempRepository.php","155"
"SQL injection","directmailteam_direct-mail","/directmailteam_direct-mail/Classes/Repository/TempRepository.php","229"
"SQL injection","directmailteam_direct-mail","/directmailteam_direct-mail/Classes/Repository/TempRepository.php","230"
"SQL injection","directmailteam_direct-mail-subscription","/directmailteam_direct-mail-subscription/Classes/user_feAdmin.php","1160"
"SQL injection","dla_dla_opac_ng","/dla_dla_opac_ng/Classes/ViewHelpers/CountFromSolrViewHelper.php","116"
"SQL injection","dla_dla_opac_ng","/dla_dla_opac_ng/Classes/ViewHelpers/CountFromSolrViewHelper.php","190"
"SQL injection","dla_find","/dla_find/Classes/ViewHelpers/Solr/CountFromSolrViewHelper.php","98"
"SQL injection","dla_find","/dla_find/Classes/ViewHelpers/Solr/CountFromSolrViewHelper.php","158"
"SQL injection","dmitryd_typo3-dd-googlesitemap","/dmitryd_typo3-dd-googlesitemap/Classes/Generator/TtNewsSitemapGenerator.php","113"
"Server-side request forgery","dmk_mk30xlegacy","/dmk_mk30xlegacy/Classes/System/Routing/Matcher/PageTypeSuffixRemovalMatcher.php","63"
"Path traversal","directmailteam_direct-mail","/directmailteam_direct-mail/Classes/Importer.php","506"
"Path traversal","directmailteam_direct-mail","/directmailteam_direct-mail/Classes/Importer.php","507"
"Path traversal","directmailteam_direct-mail","/directmailteam_direct-mail/Classes/Dmailer.php","854"
"Path traversal","directmailteam_direct-mail-subscription","/directmailteam_direct-mail-subscription/Classes/user_feAdmin.php","577"
"Path traversal","directmailteam_direct-mail-subscription","/directmailteam_direct-mail-subscription/Classes/user_feAdmin.php","580"
"Path traversal","dkd_cmis-service","/dkd_cmis-service/Classes/Controller/RenderController.php","22"
"Path traversal","dl_yag","/dl_yag/Classes/Controller/ItemController.php","248"
"Path traversal","dl_yag","/dl_yag/Classes/Domain/FileSystem/Div.php","295"
